Time (s),Torque (Nm),Position (°),Velocity (°/s)
0.108061698,0,59.9926,-4.89473
0.110049864,0,59.9757,-9.73307
0.112049430,0,59.9489,-14.5982
0.114047215,0,59.9125,-19.4576
0.116050032,0,59.8662,-24.3273
0.118036557,0,59.8107,-29.155
0.120050326,0,59.7446,-34.046
0.122054188,0,59.669,-38.9096
0.124030140,0,59.585,-43.7016
0.126050833,0,59.4893,-48.5978
0.128051179,0,59.3848,-53.4398
0.130027778,0,59.2721,-58.2191
0.132050422,0,59.147,-63.1038
0.134035378,0,59.0146,-67.8912
0.136051560,0,58.8703,-72.747
0.138049646,0,58.7178,-77.5518
0.140047577,0,58.5557,-82.3484
0.142052306,0,58.3833,-87.1528
0.144057419,0,58.2014,-91.9492
0.146053260,0,58.0107,-96.7139
0.148048321,0,57.8107,-101.467
0.150049792,0,57.6004,-106.224
0.152025447,0,57.3836,-110.91
0.154047993,0,57.1521,-115.694
0.156049365,0,56.9134,-120.416
0.158049748,0,56.6655,-125.123
0.160050166,0,56.4081,-129.817
0.162049770,0,56.1415,-134.494
0.164048290,0,55.8658,-139.155
0.166048014,0,55.5805,-143.802
0.168068259,0,55.2829,-148.482
0.170052518,0,54.9815,-153.061
0.172049857,0,54.6689,-157.654
0.174049626,0,54.3467,-162.235
0.176029871,0,54.0187,-166.752
0.178057163,0,53.6737,-171.357
0.180051151,0,53.3253,-175.867
0.182048763,0,52.9672,-180.365
0.184049792,0,52.5996,-184.848
0.186059699,0,52.2213,-189.33
0.188052161,0,51.8374,-193.75
0.190051549,0,51.4434,-198.162
0.192046235,0,51.0416,-202.54
0.194040280,0,50.6312,-206.891
0.196040018,0,50.211,-211.229
0.198041057,0,49.7818,-215.544
0.200033050,0,49.3461,-219.812
0.202041124,0,48.8982,-224.086
0.204040369,0,48.4439,-228.312
0.206020908,0,47.9855,-232.47
0.208043651,0,47.5089,-236.686
0.210043509,0,47.0294,-240.822
0.212043835,0,46.5415,-244.927
0.214023229,0,46.0507,-248.957
0.216033341,0,45.5441,-253.016
0.218043568,0,45.0294,-257.039
0.220043431,0,44.5094,-261.007
0.222042887,0,43.9817,-264.937
0.224041089,0,43.4464,-268.827
0.226043084,0,42.9024,-272.686
0.228044829,0,42.3509,-276.506
0.230044165,0,41.7924,-280.281
0.232043221,0,41.2265,-284.015
0.234046614,0,40.6519,-287.715
0.236053049,0,40.0691,-291.377
0.238046980,0,39.4827,-294.973
0.240054724,0,38.8851,-298.55
0.242052957,0,38.2833,-302.064
0.244071005,0,37.6684,-305.566
0.246050967,0,37.0583,-308.954
0.248044835,0,36.4373,-312.319
0.250043208,0,35.8082,-315.642
0.252024829,0,35.1779,-318.888
0.254038730,0,34.5307,-322.136
0.256054142,0,33.8767,-325.333
0.258052429,0,33.2219,-328.45
0.260052839,0,32.5602,-331.517
0.262049180,0,31.8939,-334.522
0.264055971,0,31.2181,-337.488
0.266054309,0,30.5394,-340.385
0.268053215,0,29.8547,-343.225
